AÑO,MES,implementado,consulta externa,cred,discapacidad,inmunizacion,programacion,refcon,ventanilla unica,wawared,DIRESA
2018,8,0,0,0,36,113,0,226,0,22,PUNO
2019,7,7,2,8,28,19,7,132,7,12,LIMA
2021,4,22,24,28,167,51,23,214,25,31,CAJAMARCA
2020,2,10,1,10,7,15,10,45,10,44,CALLAO
2021,1,53,54,145,196,425,65,82,60,68,PIURA
2020,1,9,7,27,41,29,9,146,9,18,LIMA
2019,4,0,0,1,4,8,0,2,0,41,CALLAO
2018,7,0,0,0,77,375,0,0,0,6,PIURA
2020,8,47,48,50,27,54,55,50,49,64,LIMA CENTRO
2020,9,37,34,58,186,123,38,394,37,38,ANCASH
2019,4,2,0,9,80,146,12,165,3,61,APURIMAC
2020,1,14,17,23,34,27,24,15,19,19,LORETO
2019,2,0,2,2,21,45,3,9,2,14,LA LIBERTAD
2019,5,76,10,12,19,86,91,89,86,95,LIMA NORTE
2020,4,41,41,45,95,46,42,246,42,100,HUANUCO
2021,2,48,48,50,29,54,55,55,49,64,LIMA CENTRO
2020,6,67,63,111,29,186,79,255,71,111,AREQUIPA
2019,11,17,7,20,138,44,17,46,19,28,CAJAMARCA
2019,3,0,0,1,8,8,0,0,0,4,TUMBES
2018,2,0,0,1,18,114,0,0,0,0,PASCO
2018,9,0,0,0,102,56,0,376,0,2,ANCASH
2021,5,37,34,65,201,124,39,394,37,42,ANCASH
2021,9,57,55,163,211,425,68,94,64,72,PIURA
2020,10,10,2,10,10,16,10,46,10,44,CALLAO
2020,3,22,24,27,151,46,23,95,25,30,CAJAMARCA
2021,9,39,35,82,130,295,46,425,40,122,PUNO
2019,8,37,5,37,33,51,37,194,37,41,LA LIBERTAD
2021,7,5,5,5,13,12,6,71,5,5,MADRE DE DIOS
2018,2,0,0,0,42,52,0,322,0,0,ANCASH
2018,4,0,0,0,35,6,0,26,0,0,SAN MARTIN
2019,7,20,3,22,97,272,23,328,20,64,PUNO
2020,9,41,41,46,100,46,42,246,42,102,HUANUCO
2020,6,28,28,30,75,42,31,78,31,27,SAN MARTIN
2019,9,20,5,23,93,223,20,322,20,85,APURIMAC
2020,12,14,17,32,43,32,26,15,20,22,LORETO
2018,2,0,0,0,24,10,0,0,0,10,AMAZONAS
2020,7,10,10,12,6,15,11,26,10,12,TACNA
2019,8,7,12,11,20,45,47,7,41,64,LIMA CENTRO
2021,6,10,3,10,11,16,10,46,10,44,CALLAO
2018,3,0,0,0,11,15,0,110,0,10,LIMA
2020,5,53,53,121,191,425,61,80,59,64,PIURA
2020,12,29,27,100,33,252,32,147,29,80,PASCO
2021,12,31,28,32,94,45,33,85,33,27,SAN MARTIN
2019,1,26,19,10,21,66,49,109,26,114,LIMA SUR
2020,3,27,27,92,28,252,29,138,27,64,PASCO
2021,2,7,8,13,18,13,40,7,10,8,TUMBES
2021,8,37,34,65,207,124,39,396,37,42,ANCASH
2019,11,22,22,29,28,252,22,132,22,60,PASCO
2020,9,77,62,75,32,101,90,129,78,117,LIMA SUR
2018,10,0,0,0,8,5,0,0,0,0,TUMBES
2018,2,0,0,0,4,4,0,65,0,0,MADRE DE DIOS
2021,11,10,10,12,8,16,15,35,11,12,TACNA
2020,10,99,79,87,33,94,105,104,105,97,LIMA NORTE
2019,8,24,4,25,100,273,25,340,24,69,PUNO
2018,12,0,0,0,4,7,0,0,0,40,CALLAO
2019,3,3,2,3,52,9,8,26,8,1,SAN MARTIN
2021,9,12,12,28,67,31,23,162,14,21,LIMA
2020,2,45,43,98,20,126,47,77,46,75,ICA
2020,2,35,36,36,30,52,38,113,37,267,JUNIN
2018,11,0,1,1,22,41,8,0,5,1,AYACUCHO
2021,6,29,28,32,85,45,33,80,33,27,SAN MARTIN
2020,8,53,53,126,193,425,61,80,59,65,PIURA
2021,11,10,3,10,23,17,10,46,10,44,CALLAO
2019,6,11,6,7,64,19,15,43,15,4,SAN MARTIN
2018,6,0,0,0,85,55,0,368,0,1,ANCASH
2018,4,0,0,0,29,102,0,216,0,7,PUNO
2018,2,0,0,0,14,13,0,0,0,0,UCAYALI
2018,9,4,1,0,14,119,5,228,4,21,AREQUIPA
2019,5,3,4,3,110,41,13,3,10,24,CAJAMARCA
2018,10,1,2,2,93,33,1,1,3,15,CAJAMARCA
2021,1,37,34,64,198,123,38,394,37,40,ANCASH
2019,9,13,9,10,68,24,15,57,15,5,SAN MARTIN
