REGION,PROVINCIA,DISTRITO,PK_LOC,LOCALIDAD,COLEGIOS,CENTROS DE SALUD,COMISARÍAS
AMAZONAS,UTCUBAMBA,CAJARURO,LOC001943,SANTA CRUZ DE MOROCHAL,1,1,0
AMAZONAS,BAGUA,ARAMANGO,LOC001721,COPALLIN DE ARAMANGO,1,1,0
AMAZONAS,BAGUA,ARAMANGO,LOC001722,EL CEDRON,0,1,0
AMAZONAS,BAGUA,ARAMANGO,LOC001723,EL MUYO (C.P.L.),3,1,1
AMAZONAS,BAGUA,ARAMANGO,LOC001724,LA LIBERTAD (C.P.L.),1,1,0
AMAZONAS,BAGUA,ARAMANGO,LOC001725,SANTA CLARA,1,1,0
AMAZONAS,BAGUA,ARAMANGO,LOC001726,TUTUMBEROS,2,1,0
AMAZONAS,BAGUA,BAGUA,LOC001727,CASUAL,0,1,0
AMAZONAS,BAGUA,BAGUA,LOC001728,ESPITAL,2,1,0
AMAZONAS,BAGUA,BAGUA,LOC001729,NARANJOS,0,1,0
AMAZONAS,BAGUA,BAGUA,LOC001730,PECA PALACIOS,1,1,0
AMAZONAS,BAGUA,BAGUA,LOC001731,TOMAQUE,1,1,0
AMAZONAS,BAGUA,COPALLIN,LOC001732,ALENYA,1,1,0
AMAZONAS,BAGUA,COPALLIN,LOC001733,CAMBIO PITEC,1,0,0
AMAZONAS,BAGUA,COPALLIN,LOC001734,CHONZA LAGUNA,0,1,0
AMAZONAS,BAGUA,COPALLIN,LOC001735,COPALLIN,2,1,1
AMAZONAS,BAGUA,COPALLIN,LOC001736,LLUHUANA,1,1,0
AMAZONAS,BAGUA,COPALLIN,LOC001737,PAN DE AZUCAR,1,1,0
AMAZONAS,BAGUA,EL PARCO,LOC001738,EL PARCO,2,1,0
AMAZONAS,BAGUA,EL PARCO,LOC001739,TOLOPAMPA,0,1,0
AMAZONAS,BAGUA,IMAZA,LOC001740,ALAN GARCIA (TRES PUENTES),0,1,0
AMAZONAS,BAGUA,IMAZA,LOC001741,CHIRIACO,2,1,1
AMAZONAS,BAGUA,IMAZA,LOC001742,NAZARETH,1,1,0
AMAZONAS,BAGUA,IMAZA,LOC001743,PAKUY,1,0,0
AMAZONAS,BAGUA,IMAZA,LOC001744,SHUSHUG,1,1,0
AMAZONAS,BAGUA,IMAZA,LOC001745,UMUKAY,2,0,0
AMAZONAS,BAGUA,LA PECA,LOC001746,ACHAGUAY ALTO,1,1,0
AMAZONAS,BAGUA,LA PECA,LOC001747,ARRAYAN,0,1,0
AMAZONAS,BAGUA,LA PECA,LOC001748,CHOMZA ALTA,1,1,0
AMAZONAS,BAGUA,LA PECA,LOC001749,LA PECA,1,1,1
AMAZONAS,BAGUA,LA PECA,LOC001750,SAN FRANCISCO,0,1,0
AMAZONAS,BAGUA,LA PECA,LOC001751,SAN ISIDRO,1,1,0
AMAZONAS,BONGARA,CHISQUILLA,LOC001752,CHISQUILLA,0,1,0
AMAZONAS,BONGARA,CHURUJA,LOC001753,CHURUJA,0,1,1
AMAZONAS,BONGARA,CUISPES,LOC001754,CUISPES,0,1,0
AMAZONAS,BONGARA,CUISPES,LOC001755,FANRE,1,1,0
AMAZONAS,BONGARA,FLORIDA,LOC001756,CARRERA,1,1,0
AMAZONAS,BONGARA,FLORIDA,LOC001757,FLORIDA (POMACOCHAS),0,1,2
AMAZONAS,BONGARA,JAZAN,LOC001758,PEDRO RUIZ GALLO,0,1,2
AMAZONAS,BONGARA,RECTA,LOC001759,RECTA,0,1,0
AMAZONAS,BONGARA,SAN CARLOS,LOC001760,SAN CARLOS,0,1,0
AMAZONAS,BONGARA,SHIPASBAMBA,LOC001761,SHIPASBAMBA,1,1,0
AMAZONAS,BONGARA,VALERA,LOC001762,COCACHIMBA,0,1,0
AMAZONAS,BONGARA,VALERA,LOC001763,LA COCA,0,1,0
