loeschen2,Media,departamento
01,26.28365153,Amazonas
02,35.26574953,Áncash
03,25.63307458,Apurímac
04,55.79174859,Arequipa
05,19.25581268,Ayacucho
06,12.72534247,Cajamarca
07,53.32202647,Prov. Const.Callao
08,12.07908461,Cusco
09,6.758903193,Huancavelica
10,22.78914283,Huánuco
11,49.80560468,Ica
12,27.12686965,Junín
13,33.56161578,La Libertad
14,39.83142729,Lambayeque
15,59.37543116,Lima
16,28.18515571,Loreto
17,25.33166993,Madre de Dios
18,51.12536753,Moquegua
19,24.47244544,Pasco
20,33.43980944,Piura
21,17.47093362,Puno
22,30.96055071,San Martín
23,56.14813262,Tacna
24,29.7537818,Tumbes
25,28.21018674,Ucayali
