"ano","amazonas","ancash","apurimac","arequipa","ayacucho","cajamarca","prov_const_callao","cusco","huancavelica","huanuco","ica","junin","la_libertad","lambayeque","lima","loreto","madre_de_dios","moquegua","pasco","piura","puno","san_martin","tacna","tumbes","ucayali"
"2009"," 1.5"," 5.6"," 1.0","15.5"," 3.0"," 4.2","18.0"," 3.6"," 0.7"," 2.6"," 8.2"," 4.0"," 8.8"," 8.5","22.1"," 2.3"," 1.3","10.1"," 2.6"," 4.9"," 1.9"," 3.3","13.2"," 3.7"," 4.8"
"2010"," 2.0"," 8.4"," 0.8","19.7"," 3.5"," 5.2","21.8"," 4.6"," 0.6"," 4.0","10.0"," 5.8","11.6","11.5","24.4"," 2.7"," 3.3","15.1"," 3.9"," 6.3"," 1.6"," 6.0","17.9"," 6.4"," 5.5"
"2011"," 2.9","12.7"," 2.1","21.3"," 3.7"," 5.6","25.7"," 5.9"," 1.3"," 5.2","16.7"," 8.2","13.0","13.3","31.2"," 4.5"," 5.2","17.1"," 2.9"," 9.9"," 3.5"," 5.7","19.2","11.0"," 6.7"
"2012"," 5.1","14.2"," 4.5","25.9"," 6.4"," 4.6","33.7"," 9.6"," 1.7"," 6.9","20.4"," 8.4","20.1","17.9","36.8"," 5.0","11.3","24.0"," 4.3","13.6"," 4.7"," 8.9","23.5","17.6"," 7.2"
"2013"," 5.0","18.6"," 5.3","26.9"," 4.9"," 6.5","37.1"," 9.0"," 2.5"," 7.0","23.2","11.6","20.4","20.7","39.6"," 3.3","16.9","21.9"," 4.3","15.3"," 5.7"," 8.4","26.2","18.7"," 9.0"
"2014"," 8.9","17.8"," 4.4","28.9"," 6.2"," 4.8","41.6","11.4"," 2.0"," 8.5","25.2","11.5","21.6","23.9","42.2"," 7.0","13.4","22.0"," 5.0","13.8"," 6.3"," 9.2","29.3","21.6"," 8.2"
"2015"," 7.2","16.2"," 4.3","31.0"," 5.3"," 6.1","37.4","10.8"," 2.4"," 9.3","26.7","15.4","21.8","24.7","40.3"," 9.6","12.1","23.6"," 5.9","13.3"," 5.7"," 8.8","27.0","24.1"," 9.7"
"2016","11.0","17.9"," 3.7","35.2"," 6.1"," 7.3","45.5","11.7"," 4.1"," 8.3","27.7","19.7","25.7","27.4","45.6","14.5","11.1","28.9"," 6.0","13.9"," 5.7","10.4","35.5","22.0","12.1"
"2017","14.5","16.7"," 7.1","39.2"," 5.7"," 7.8","44.6","11.0"," 2.6"," 8.4","33.2","20.9","25.0","28.8","49.8","19.4","11.8","27.7"," 6.3","14.9"," 7.2","11.6","39.3","22.7","13.7"
"2018","16.3","17.1"," 6.7","35.0"," 7.2"," 9.3","50.7","13.9"," 2.8"," 9.2","33.6","21.3","24.7","28.1","51.8","19.3","21.0","30.7"," 6.4","20.6"," 9.2","14.3","44.0","21.4","15.0"
"2019","24.0","32.4","17.1","47.9","13.5"," 9.6","51.3","16.3"," 5.0","19.5","44.7","25.2","27.1","35.1","56.6","23.5","30.7","38.8","13.8","31.2","14.6","26.7","52.3","32.4","20.2"
"2020","26.283652","35.265750","25.633075","55.791749","19.255813","12.725342","53.322026","12.079085"," 6.758903","22.789143","49.805605","27.126870","33.561616","39.831427","59.375431","28.185156","25.331670","51.125368","24.472445","33.439809","17.470934","30.960551","56.148133","29.753782","28.210187"
